Name,Type,Population,Class,CountySeat
Junction City,city,283,village,Madison
Kahoka,city,1961,city fourth class,Clark
Kansas City,city,508090,city home rule,"Cass, Clay, Jackson, Platte"
Kearney,city,10404,city fourth class,Clay
Kelso,city,554,village,Scott
Kennett,city,10515,city third class,Dunklin
Keytesville,city,440,city fourth class,Chariton
Kidder,city,267,city fourth class,Caldwell
Kimberling City,city,2344,city fourth class,Stone
Kimmswick,city,133,city fourth class,Jefferson
King City,city,799,city fourth class,Gentry
Kingdom City,city,134,village,Callaway
Kingston,city,290,city fourth class,Caldwell
Kingsville,city,245,city fourth class,Johnson
Kinloch,city,263,city fourth class,St. Louis
Kirbyville,city,195,village,Taney
Kirksville,city,17530,city third class,Adair
Kirkwood,city,29461,city home rule,St. Louis
Kissee Mills,city,1023,census designated place,Taney
Knob Lick,city,147,census designated place,St. Francois
Knob Noster,city,2782,city fourth class,Johnson
Knox,county,3744,county third class without township,Edina
Knox City,city,191,city fourth class,Knox
Koshkonong,city,196,city fourth class,Oregon
La Belle,city,664,city fourth class,Lewis
La Due,city,27,village,Henry
La Grange,city,825,city special charter,Lewis
La Monte,city,1135,city fourth class,Pettis
La Plata,city,1308,city fourth class,Macon
La Russell,city,118,village,Jasper
La Tour,city,167,census designated place,Johnson
LaBarque Creek,city,1658,census designated place,Jefferson
Laclede,city,305,city fourth class,Linn
Laclede,county,36039,county third class without township,Lebanon
Laddonia,city,502,city fourth class,Audrain
Ladue,city,8989,city fourth class,St. Louis
Lafayette,county,32984,county fourth class,Lexington
Lake Annette,city,107,city fourth class,Cass
Lake Arrowhead,city,363,census designated place,NA
Lake Lafayette,city,277,city fourth class,Lafayette
Lake Lotawana,city,2310,city fourth class,Jackson
Lake Mykee,city,350,city fourth class,Callaway
Lake Ozark,city,2077,city fourth class,"Camden, Miller"
Lake St. Clair,city,825,census designated place,Franklin
Lake St. Louis,city,16707,city fourth class,St. Charles
Lake Tapawingo,city,794,city fourth class,Jackson
Lake Tekakwitha,city,230,village,Jefferson
Lake Timberline,city,726,census designated place,St. Francois
Lake Viking,city,486,census designated place,Daviess
Lake Waukomis,city,888,city fourth class,Platte
